Title,Channel,Views,Likes,Comments,Date
"""이 3가지는 필수"" AI 20년 연구한 뇌과학자가 챗GPT 쓰는 법 (카이스트 김대식 교수)",머니인사이드,1809422,34543,616,2025-09-08
"[이런뉴스] “부탁해요, 챗GPT” 공손함이 가져온 뜻밖의 결과는? / KBS 2025.04.22.",KBS News,1029387,6556,1806,2025-04-22
동네 건달 까치한테 딱 걸림 ㅋㅋㅋ (AI영상),멍순이 비디오,2110501,23915,776,2025-12-12
"""더이상 AI 못 막는다"" 지금은 현실적으로 '이것부터' 하세요 (김대식 교수 풀버전)",머니인사이드,920162,15383,793,2025-10-18
스탠포드가 가르치는 AI시대 창의력 훈련법 | 스탠포드 교수 제레미 어틀리,EO Korea,903549,32602,791,2025-05-09
"(Kor, Chi)일 잘하는 사람의 시크릿(성공) 레시피 (AI) 비즈니스를 이븐하게 조리하는 방법 | 조용민 언바운드랩데브 대표 | 챗GPT 회사 생성형AI | 세바시 1931회",세바시 강연 Sebasi Talk,573641,10057,319,2024-12-17
"전공생이 알려주는 AI(인공지능) 필수지식, 누구든 10분이면 이해 끝 | [허성범의 AI학개론]  -1강",허성범 Horang,540886,21353,903,2025-02-23
생성형 AI에서 AGI까지ㅣ카이스트 김대식 교수ㅣ2025 글로벌 비즈니스 트렌드,교보문고 보라,470166,9073,377,2024-10-17
구글 제미나이3 돌풍…'AI 칩' 붐 온다 / 한국경제TV뉴스,한국경제TV뉴스,452664,2486,423,2025-11-25
요즘 AI가 잘 틀리는 이유｜크랩,크랩 KLAB,426651,4915,1041,2025-11-22
"📌생성형 AI 활용 시, 주의할 점! 방통이와 함께하는 생성형 AI 윤리 Check하기!",방송미디어통신위원회,417855,52,3,2024-11-07
이건 진짜 혁명이다… 구글 나노바나나 20가지 활용법 직접 보여드립니다!,AI놀이터,393622,8245,181,2025-09-13
비전공자도 3개월 만에 AI 개발자로 취업하는 곳! | 신세대 백화점 EP.65,스튜디오헤이 StudioHey,565998,126,10,2025-12-17
"상위 1%만 알고 있는 AI 활용법, 삶의 질이 10배 상승한다 (김덕진 교수 풀버전)",김작가 TV,376395,7941,128,2025-06-28
제발 돈 낭비는 그만.. AI에 500만 원 쓴 사람이 알려주는 AI 선택 가이드,알린 ALINN,293652,7491,344,2025-07-05
"상위 1%만 알고있는 AI 활용법, 어차피 알려줘도 다들 안해요 (김덕진 교수)",김작가 TV,292026,4961,104,2025-06-15
챗GPT 강력한 활용법 3가지 핵심 비밀 대공개 #ai #chatgpt #자기계발 #성장,김교수의 세 가지,386385,3571,40,2025-04-04
로봇과 AI 다 가진 '이 기업' 지금 싸도 너무 쌉니다 근데 앞으로 세계 1위 될 것입니다 (김대식 교수 / 풀버전),신사임당,226729,3682,156,2025-10-29
[자막뉴스] 과제는 뚝딱하더니 질문하자 '당황'...혼돈의 대학가 / YTN, YTN,221768,1139,1054,2025-12-27
"AI 시대의 승자, 지금부터 준비하는 자가 된다⚡ 초압축 AI 몰입 강연 | 장동선, 최재붕, 이정모, 김상균, 조용민, 서용석 | AI 기술 미래 직업",세바시 강연 Sebasi Talk,206374,3412,43,2025-10-08
